"dist_km","media_tempo_entrega_min","pedidos"
"866.0","30.4","67"
"867.0","32.9","74"
"868.0","32.9","85"
"869.0","34.9","94"
"871.0","32.6","72"
"872.0","32.0","87"
"873.0","35.5","69"
"874.0","31.2","77"
"875.0","34.1","74"
"876.0","35.1","72"
"877.0","32.6","82"
"878.0","32.8","82"
"879.0","30.3","69"
"881.0","33.7","79"
"882.0","35.6","77"
"883.0","32.4","68"
"884.0","32.3","61"
"885.0","34.9","81"
"886.0","34.8","77"
"887.0","33.6","82"
"888.0","32.7","77"
"889.0","31.7","66"
"891.0","32.3","90"
"892.0","33.2","88"
"893.0","33.3","69"
"894.0","31.8","100"
"895.0","33.4","83"
"896.0","34.1","76"
"897.0","31.9","68"
"898.0","36.8","58"
"899.0","31.6","63"
"901.0","32.4","43"
"902.0","32.8","70"
"903.0","32.7","83"
"904.0","32.7","78"
"905.0","34.2","83"
"906.0","35.5","73"
"907.0","33.4","78"
"908.0","32.3","67"
"909.0","39.3","54"
"911.0","34.2","73"
"912.0","33.3","68"
"913.0","32.8","61"
"914.0","35.5","64"
"915.0","31.4","71"
"916.0","36.1","72"
"917.0","31.3","80"
"918.0","35.3","65"
"919.0","31.7","64"
"921.0","37.4","69"
"922.0","34.3","74"
"923.0","32.7","82"
"924.0","31.3","71"
"925.0","31.6","70"
"926.0","33.4","70"
"927.0","32.3","74"
"928.0","34.2","57"
"929.0","33.1","63"
"931.0","35.3","76"
"932.0","34.2","68"
"933.0","33.4","60"
"934.0","30.3","60"
"935.0","30.6","71"
"936.0","32.4","78"
"937.0","32.2","69"
"938.0","34.5","56"
"939.0","32.6","76"
"941.0","32.5","88"
"942.0","33.3","76"
"943.0","33.0","74"
"944.0","34.9","60"
"945.0","31.3","50"
"946.0","34.1","76"
"947.0","31.4","74"
"948.0","31.6","63"
"949.0","33.8","66"
"951.0","35.2","61"
"952.0","33.3","67"
"953.0","34.6","78"
"954.0","29.9","71"
"955.0","35.1","69"
"956.0","33.5","62"
"957.0","34.8","69"
"958.0","36.9","72"
"959.0","31.2","63"
"961.0","33.4","84"
"962.0","34.1","81"
"963.0","31.4","76"
"964.0","33.7","63"
"965.0","35.3","79"
"966.0","38.8","45"
"967.0","31.4","60"
"968.0","33.8","65"
"969.0","31.5","63"
"971.0","33.9","62"
"972.0","32.9","42"
"973.0","33.7","52"
"974.0","34.2","55"
"975.0","36.9","58"
"976.0","34.1","66"
"977.0","34.7","61"
"978.0","35.7","62"
"979.0","34.1","57"
"981.0","39.5","48"
"982.0","36.2","62"
"983.0","34.1","47"
"984.0","33.2","58"
"985.0","34.9","55"
"986.0","34.2","63"
"987.0","35.8","41"
"988.0","36.8","64"
"989.0","35.3","41"
"991.0","34.1","57"
"992.0","34.9","72"
"993.0","33.7","68"
"994.0","32.2","58"
"995.0","33.7","50"
"996.0","36.6","53"
"997.0","32.9","57"
"998.0","34.6","40"
"999.0","31.8","49"
"1001.0","35.2","54"
"1002.0","31.5","59"
"1003.0","34.1","65"
"1004.0","34.9","48"
"1005.0","32.1","52"
"1006.0","35.4","52"
"1007.0","32.7","54"
"1008.0","33.9","48"
"1009.0","37.6","63"
"1011.0","32.8","51"
"1012.0","35.8","36"
"1013.0","32.8","29"
"1014.0","35.3","73"
"1015.0","33.7","39"
"1016.0","36.4","54"
"1017.0","37.4","48"
"1018.0","37.1","58"
"1019.0","37.0","40"
"1021.0","35.2","48"
"1022.0","34.7","45"
"1023.0","39.1","44"
"1024.0","34.8","51"
"1025.0","35.0","56"
"1026.0","44.6","58"
"1027.0","36.2","51"
"1028.0","33.4","45"
"1029.0","34.8","55"
"1031.0","36.8","45"
"1032.0","37.6","34"
"1033.0","34.2","43"
